RecordNumber	Tags	Indicators	Content	
4	255	\\	$aScale [ca. 1:44,352]. 1 in. = approx. 0.7 miles.
4	260	\\	$aSan Jose, Calif. :$bH.M. Gousha Co.,$c[1986?]
4	300	\\	$a1 map :$bboth sides, col. ;$c94 x 131 cm., on sheet 97 x 68 cm., folded to 23 x 10 cm.
4	500	\\	$aPanel title: Phoenix street map : including Glendale, Guadalupe, Mesa, Paradise Valley, Peoria, Scottsdale, Tempe, Tolleson, Youngtown ... and adjoining communities.
4	500	\\	$aAt head of panel title: Goushā/Check Chart.
4	500	\\	$aIncludes index and insets of ""Downtown Phoenix"" and the Mesa-Apache Junction area.
4	500	\\	$a""M-KX-1527-S.""
4	650	\0	$aCentral business districts$zArizona$zPhoenix$vMaps.
4	651	\0	$aPhoenix (Ariz.)$vMaps.
4	651	\0	$aPhoenix Metropolitan Area (Ariz.)$vMaps.
4	988	\\	$a20020608
4	906	\\	$0DLC
			
5	LDR		01405cam a2200349Ia 4500
5	001		008000512-8
5	005		20050412174544.0
5	008		970225s1996\\\\gr\a\\\\\b\\\\001\0\eng\d
5	010	\\	$agb 97035597 
5	015	\\	$aGB97-35597
5	020	\\	$a090488726X
5	035	0\	$aocm36443333
5	035	0\	$aocm36443333$zocm36955126
5	040	\\	$aNYP$cNYP$dUIU$dUKM$dCUS$dHCH
5	043	\\	$ae-gr---
5	245	00	$aArchaeoseismology /$cedited by S. Stiros & R.E. Jones.
5	260	\\	$aAthens, Greece :$bInstitute of Geology & Mineal Exploration :$bBritish School at Athens,$c1996.
5	300	\\	$aviii, 268 p. :$bill., maps, plans ;$c26 cm.
5	490	1\	$aFitch Laboratory occasional paper ;$v7
5	500	\\	$aAppendix: 'Thoughts on the perception of the earthquake in Greek antiquity': p. 253-257.
5	500	\\	$aIndexes: 'Earthquake catalogue': p. 261-[262]; 'Subject index': p. 263-268.
5	504	\\	$aIncludes bibliographical references at the end of each contribution.
5	505	0\	$aIntroductory papers -- Archaeological and historical evidence of palaeoseismic events, and their social and cultural impacts -- Scientific approaches.
5	650	\0	$aPaleoseismology$zGreece.
5	650	\0	$aGeology$zGreece.
5	650	\0	$aEarthquakes$zGreece.
5	650	\0	$aSeismology$zGreece.
5	700	1\	$aStiros, S.
5	700	1\	$aJones, R. E.
5	830	\0	$aFitch Laboratory occasional paper ;$v7.
5	988	\\	$a20020608
5	906	\\	$0OCLC
			
6	LDR		01532nam a2200349Ia 4500
6	001		008000613-2
6	005		20020606104010.5
6	008		990128s1998\\\\dcu\\\\\\l\\\f000\0\eng\d
6	020	\\	$c{dollar}1.00
6	035	0\	$aocm40693213
6	037	\\	$a869-036-00152-4$bGPO
6	040	\\	$aGPO$cGPO$dHLS
6	043	\\	$an-us---
6	074	\\	$a0575
6	086	0\	$aAE 2.110:105-305
6	088	\\	$aPublic Law 105-305
6	110	1\	$aUnited States.
6	240	10	$aNext Generation Internet Research Act of 1998
6	245	13	$aAn Act to Amend the High-Performance Computing Act of 1991 to Authorize Appropriations for Fiscal Years 1999 and 2000 for the Next Generation Internet Program, to Require the President's Information Technology Advisory Committee to Monitor and Give Advice Concerning the Development and Implementation of the Next Generation Internet Program and Report to the President and the Congress on Its Activities, and for Other Purposes.
6	246	2\	$aAct to Amend the High Performance Computing Act of 1991 ...
6	260	\\	$a[Washington, D.C. :$bU.S. G.P.O. :$bSupt. of Docs., U.S. G.P.O., distributor,$c1998]
6	300	\\	$a[7] p. ;$c24 cm.
6	500	\\	$aCaption title.
6	500	\\	$aShipping list no.: 99-0107-P.
6	500	\\	$a""Oct. 28, 1998, (H.R. 3332).""
6	500	\\	$a""112 Stat. 2919.""
6	500	\\	$a""Public Law 105-305.""
6	650	\0	$aInternet$zUnited States.
6	650	\0	$aComputer networks$xLaw and legislation$zUnited States.
6	650	\0	$aSupercomputers$xLaw and legislation$zUnited States.
6	988	\\	$a20020608
6	906	\\	$0OCLC
			
7	LDR		01688nam a2200277ui 4500
7	001		008000714-7
7	005		20024617122813.0
7	008		990210s1943\\\\ja\a\\\\\\\\\\000\0\jpn\d
7	035	0\	$aocm40768658
7	040	\\	$a*YNH*$c*YNH*$dCStRLIN
7	110	2\	$6880-01$aNihon Ryōshin Saikyōiku Kyōkai.
7	245	10	$6880-02$aJidō shinri hen /$cNihon Ryōshin Saikyōiku Kyōkai hen.
7	260	\\	$6880-03$aTōkyō :$bDaiichi Kōronsha,$cShōwa 18 [1943]
7	300	\\	$a[10], 486 p. :$bill., 1 folded table ;$c19 cm.
7	490	1\	$6880-04$aShin kodomo kenkyū kōza
7	505	0\	$6880-05$aHaha no tame no hattatsu shinrigaku / Hatano Kanji -- Yōji no shinri to shitsuke / Yamashita Toshirō -- Gakudō no shinri to kyōiku / Takemasa Tarō -- Seinen no shinri to shidō / Aoki Seishirō -- Gendai shinrigaku to jidō kenkyū / Kunihara Tarō -- Kodomo no chinō / Takeda Toshio -- Kodomo no kosei to seikaku / Yoda Arata -- Kodomo to kankyō / Masaki Masashi.
7	650	\0	$aChild psychology.
7	880	2\	$6110-01$a日本兩親再教育協會.
7	880	10	$6245-02$a兒童心理篇 /$c日本兩親再教育協會編.
7	880	\\	$6260-03$a東京 :$b第一公論社,$c昭和18 [1943]
7	880	1\	$6490-04$a新子供研究講座
7	880	0\	$6505-05$a母のための發達心理學/ 波多野完治 -- 幼兒の心理と躾/ 山下俊郎 -- 學童の心理と教育/ 武政太郎 -- 青年の心理と指導/ 青木誠四郎 -- 現代心理學と兒童研究/ 國原太郎 -- 子供の智能/ 武田俊雄 -- 子供の個性と性格/ 依田新 -- 子供と環境/ 正木正.
7	830	\0	$6880-54$aShin kodomo kenkyū kōza.
7	880	\0	$6830-54$a新子供研究講座.
7	988	\\	$a20021216
7	906	\\	$0MH
			
8	LDR		01069cam a2200325Ia 4500
8	001		008000817-8
8	005		20070716091738.0
8	008		980423s1998\\\\sp\a\\\\\b\\\\001\0\spa\d
8	020	\\	$a8489240469
8	020	\\	$a9788489240469
8	035	0\	$aocm39085805
8	040	\\	$aI5B$bspa$cI5B$dPL#$dOCLCQ$dTEF
8	050	\4	$aPN1995.9.S45$bL37 1998
8	090	\\	$aPN1995.9.S45$bL37 1998
8	100	1\	$aLardín, Rubén.
8	245	10	$aFuego en el cuerpo :$b50 películas míticas del cine erótico /$cRubén Lardín ; [prólogo, Hernán Migoya].
8	250	\\	$a1. ed.
8	260	\\	$aValencia, Spain :$bMidons Editorial,$c1998.
8	300	\\	$a127 p. :$bill. (some col.) ;$c24 cm.
8	490	1\	$aSerie B ;$v21
8	504	\\	$aIncludes bibliographical references (p. 126) and index.
8	650	\0	$aErotic films$xStories, plots, etc.
8	650	\0	$aErotic films$vCatalogs.
8	653	\\	$aPelículas eróticas$aGuías.
8	655	\7	$aCatalogs.$2fast
8	655	\7	$aStories, plots, etc.$2fast
8	830	\0	$aSerie B (Midons Editorial) ;$v21.
8	988	\\	$a20020608
8	049	\\	$aHLSS
8	906	\\	$0OCLC
			
9	LDR		00917nam a22002417u 4500
9	001		008000922-0
9	005		20020606104010.5
9	008		910709s1997\\\\is\\\\\\\\\\\|||||||heb|d
9	035	0\	$aocm40819756
9	100	1\	$aErlikh, Mikhaʾel.
9	245	10	$aTorat ha-beged :$bpirḳe hadrakhah be-nośe ha-shaʻaṭnez /$cMikhaʾel Erlikh ... ; [ʻarikhah Zeʾev Grinṿald]
9	260	0\	$aYerushalayim :$bha-Mosad le-ʻidud limud ha-Torah,$c[5757 or 1997?]
9	300	\\	$a126 p. ;$c22 cm.
9	490	1\	$aSifriyat ʻanaḳim be-madaf uve-khis ;$v138
9	490	1\	$aSifriyat Bene Torah ha-merukezet ʻal shem mishpaḥot Lebovits- Ḳesṭ
9	650	\0	$aShaatnez.
9	650	\0	$aJewish law.
9	700	1\	$aGrinṿald, Zeʾev.
9	752	\\	$aIsrael$dJerusalem
9	830	\0	$aSifriyat ʻanaḳim be-madaf uve-khis ;$v138.
9	830	\0	$aSifriyat Bene Torah ha-merukezet ʻal shem mishpaḥot Lebovits- Ḳesṭ.
9	988	\\	$a20020608
9	906	\\	$0MH
			
10	LDR		01927cjm a2200421Ka 45e0
10	001		008001024-5
10	005		20030815100604.0
10	008		990419s1994\\\\fr\mun\\\\\\\\\\\\\\fre\d
10	028	02	$aSC 53002$bSuoni e Colori
10	035	0\	$aocm41207520
10	040	\\	$aWIQ$cWIQ$dOCL$dHMU
10	100	1\	$aGlinka, M. I.$q(Mikhail Ivanovich),$d1804-1857.
10	240	10	$aSextet,$mpiano, strings,$nE♭ major
10	245	10	$aSextuor pour piano et cordes en mi bémol majeur$h[sound recording] ;$bDivertimento sur des thémes de la Somnanbula de Bellini ; Sérénade sur des thémes d'Anna Bolena de Donizetti /$cMikhail Glinka.
10	260	\\	$aFrance :$bSuoni e Colori,$cp1994.
10	300	\\	$a1 sound disc :$bdigital, stereo. ;$c4 3/4 in.
10	490	1\	$aIntǵrale de musique de chambre ;$vvolume 1
10	511	0\	$aKun-Woo Paik, Yves Henry, Alexandre Brussilovsky, Jeannie Wells-Yablonsky, Zoltan Toth, Nathaniel Rosen, Benjamin Berlioz, Amaury Wallez, André Cazalet, Frédérique Cambreling.
10	500	\\	$aCompact disc.
10	500	\\	$aProgram notes in French with English translation ([7] p.) inserted in container.
10	518	\\	$aRecorded in Oct. 1994 at the Auditorium d'Issy-les-Moulineaux.
10	650	\0	$aSextets (Piano, violins (2), viola, cello, double bass).
10	650	\0	$aChamber music.
10	700	1\	$aPaik, Kun Woo.
10	700	1\	$aHenry, Yves,$d1959-
10	700	1\	$aBrussilovsky, Alexandre.
10	700	1\	$aWells-Yablonsky, Jeannie.
10	700	1\	$aToth, Zoltán,$d1950-
10	700	1\	$aRosen, Nathaniel.
10	700	1\	$aBerlioz, Benjamin.
10	700	1\	$aWallez, Amaury.
10	700	1\	$aCazalet, André.
10	700	1\	$aCambreling, Frédérique.
10	700	12	$aGlinka, M. I.$q(Mikhail Ivanovich),$d1804-1857.$tDivertimento brillante.
10	700	12	$aGlinka, M. I.$q(Mikhail Ivanovich),$d1804-1857.$tSerenata sopra alcuni motivi dell'opera Anna Bolena.
10	830	\0	$aIntǵrale de musique de chambre ;$vvolume 1.
10	988	\\	$a20030815
10	906	\\	$0OCLC
			
11	LDR		02444cjm a2200349Ka 45e0
11	001		008001126-8
11	005		20030815160957.0
11	008		020429s1997\\\\gw\uunn\\\\\\\\\\\n\zxx\d
11	028	00	$aBAL-9469-1$bBalance
11	035	0\	$aocm49684324
11	040	\\	$aMUS$cMUS$dOCLCQ$dHMU
11	245	04	$aDer Drache bläset Lermen--$h[sound recording].
11	260	\\	$aMünchen [Germany] :$bBalance München,$cp1997.
11	300	\\	$a1 sound disc (65 min.) :$bdigital ;$c4 3/4 in.
11	336	\\	$aperformed music$bprm$2rdacontent
11	337	\\	$aaudio$bs$2rdamedia
11	338	\\	$aaudio disc$bsd$2rdacarrier
11	500	\\	$aBalance: BAL-9469-1.
11	546	\\	$aAll vocal works sung in German.
11	511	0\	$aGotthold Schwarz, bass ; Trompeten Consort Friedemann Immer.
11	500	\\	$aCompact disc.
11	500	\\	$aProgram notes ([17] p.) in German, English, and French inserted in container.
11	505	0\	$aBicinium C-dur (Sonatine Nr. 69) für zwei Trompeten und Orgel (B.c.) / Johann Christoph Pezel (2:22) -- Singet dem Herrn : Kantate für Baβ, zwei Trompeten und Orgel (B.c.) / Johann Philipp Krieger (7:12) -- Ricercar F-dur für Orgel / Johann Krieger (2:47) -- Herr ist mein Panier : Kantate für Baβ, zwei Trompeten und Orgel (B.c.) / Johann Krieger (5:37) -- Fuge G-dur für Orgel / Johann Krieger (2:35) -- Singet fröhlich Gotte : Kantate für Baβ, Trompete und Orgel (B.c.) / Johann Philipp Krieger (4:54) -- Praeludium c-moll für Orgel / Johann Krieger (2:28) -- Drache bläset Lermen : Kantate für Baβ, drei Trompeten, Pauken und Orgel (B.c.) / Johann Krieger (6:24) -- Suite aus Kremsier Intraden für drei Trompeten und Pauke / Pavel Josef Vejvanowski (2:11) -- Regina coeli : Kantate für Baβ, zwei Trompeten und Orgel (B.c.) / Rupert Ignaz Mayr (6:30) -- Zwei Duette aus Kremsier Intraden für zwei Trompeten / Anonymous (1:22) -- Laudate pueri : Kantate für Baβ, Trompete und Orgel (B.c.) / Antonio Pino (5:53) -- Praeludium und Fuge c-moll für Orgel / Johann Zach (4:48) -- Jauchzet dem Herrn : Kantate für Baβ, drei Trompeten, Pauken und Orgel (B.c.) / Georg Philipp Telemann (8:34).
11	500	\\	$aDuration: 64:04.
11	650	\7	$aOrgan music.$2fast
11	650	\7	$aSolo cantatas, Sacred (Low voice)$2fast
11	650	\7	$aSongs (Low voice) with instrumental ensemble.$2fast
11	650	\7	$aTrumpet and continuo music.$2fast
11	700	1\	$aSchwarz, Gotthold.$4voc
11	710	2\	$aTrompeten Consort Friedemann Immer.
11	988	\\	$a20030815
11	906	\\	$0OCLC
			
12	LDR		00931cam a2200277Ma 4500
12	001		008001232-9
12	005		20050418162825.0
12	008		010619s1997\\\\it\ab\\\\b\\\\000\0dita\d
12	035	0\	$aocm55028318
12	040	\\	$aYUS$cYUS$dOCLCQ
12	043	\\	$ae-sz---
12	050	\4	$aDQ490.7$b.D26 1997
12	100	1\	$aDandolo, Tullio,$cconte,$d1801-1870.
12	245	10	$aSaggio di lettere sulla Svizzera :$bil Canton dei Grigioni /$cTullio Dandolo.
12	246	14	$aCanton dei Grigioni
12	260	\\	$aMilano :$bValentina Edizioni,$c[1997]
12	300	\\	$a155 p. :$bill., maps (some col.) ;$c27 cm.
12	490	1\	$aI tempi del mondo
12	500	\\	$aPrevious ed.: Milano : Stella, 1829.
12	504	\\	$aIncludes bibliographical references.
12	651	\0	$aGraubünden (Switzerland)$xCivilization.
12	651	\0	$aGraubünden (Switzerland)$xHistory.
12	651	\0	$aGraubünden (Switzerland)$vBiography.
12	830	\2	$aI tempi del mondo.
12	988	\\	$a20020608
12	906	\\	$0OCLC
			
13	LDR		01037cam a2200301ua 4500
13	001		008001333-3
13	005		20024617110316.0
13	008		940511s1993\\\\cc\\\\\\\b\\\\000\0\chi\d
13	020	\\	$a7800685039
13	035	0\	$aocm30717983
13	040	\\	$aHkUST$cHkUST$dMH-HY$dCStRLIN
13	050	\4	$aPL2471.Z7$bH78 1993x
13	100	1\	$6880-01$aXu, Zhixiang.
13	245	10	$6880-02$aLun yu ming ju shang xi /$cXu Zhixiang bian zhu.
13	250	\\	$6880-03$aBeijing di 1 ban.
13	260	\\	$6880-04$aBeijing :$bHong qi chu ban she,$c1993.
13	300	\\	$a2, 4, 2, 200 p. ;$c19 cm.
13	504	\\	$aIncludes bibliographical references.
13	600	00	$6880-05$aConfucius.$tLun yu.
13	700	02	$6880-06$aConfucius.$tLun yu.$kSelections.$f1993.
13	880	1\	$6100-01$a徐志祥.
13	880	10	$6245-02$a论语名句赏析 /$c徐志祥编著.
13	880	\\	$6250-03$a北京第1版.
13	880	\\	$6260-04$a北京 :$b红旗出版社,$c1993.
13	880	00	$6600-05$aConfucius.$t论语.
13	880	02	$6700-06$aConfucius.$t论语.$kSelections.$f1993.
13	988	\\	$a20021105
13	906	\\	$0OCLC
			
14	LDR		00653nas a22002417a 4500
14	001		008001436-4
14	005		20020606104010.5
14	008		990211d19311931rm\uu\p\\\\\\\0\\\\0hun\d
14	010	\\	$asn 99031322 
14	035	0\	$aocm40772183
14	040	\\	$aHLS$cHLS
14	042	\\	$amsc
14	043	\\	$ae-rm---
14	245	00	$aHaggib-bor-lap$h[microform].
14	246	13	$aHaggibborlap
14	260	\\	$aKolozsvár [Romania] :$bFraternitas,$c1931-
14	362	0\	$a1. ev́f., 1. sz. (1931 feb. 14)-
14	362	1\	$aCeased in 1931?
14	500	\\	$aTitle from caption.
14	650	\0	$aJews, Hungarian$zRomania$vPeriodicals.
14	650	\0	$aJews$zRomania$vPeriodicals.
14	988	\\	$a20020608
14	906	\\	$0MH
			
15	LDR		01029cam a2200289 a 4500
15	001		008001537-9
15	005		20040727115522.0
15	008		000510s1999\\\\enka\\\\\b\\\\001\0\eng\\
15	010	\\	$a   00361458 
15	020	\\	$a0575066342
15	035	0\	$aocm45376775
15	040	\\	$aDLC$cDLC
15	043	\\	$ae-uk---
15	050	00	$aNA8202$b.B78 1999
15	100	1\	$aBrunskill, R. W.
15	245	10	$aTraditional farm buildings of Britain and their conservation /$cR.W. Brunskill.
15	250	\\	$a3rd (retitled) ed.
15	260	\\	$aLondon :$bV. Gollancz in association with P. Crawley,$c1999.
15	300	\\	$a208 p. :$bill. ;$c26 cm.
15	500	\\	$aRev. ed. of: Traditional farm buildings of Britain. 1982.
15	504	\\	$aIncludes bibliographical references (p. 201-204) and index.
15	650	\0	$aFarm buildings$zGreat Britain.
15	650	\0	$aVernacular architecture$zGreat Britain.
15	650	\0	$aFarm buildings$zGreat Britain$xConservation and restoration.
15	700	1\	$aBrunskill, R. W.$tTraditional farm buildings of Britain.
15	988	\\	$a20020607
15	906	\\	$0DLC
			
16	LDR		01302cam a2200361 a 4500
16	001		008001637-5
16	005		20024617112705.0
16	008		980220s1997\\\\cc\ac\\\\b\\\\000\0\chi\d
16	020	\\	$a9628274058
16	035	0\	$aocm38484010
16	040	\\	$a*MEY*$c*MEY*$dPPiU$dHkUST$dMH-HY$dCStRLIN
16	043	\\	$aa-cc---
16	050	00	$aDS779.26$b.W843 1997
16	100	1\	$6880-01$aWu, Guoguang.
16	245	10	$6880-02$aZhao Ziyang yu zheng zhi gai ge /$cWu Guoguang zhu.
16	246	14	$aPolitical reform under Zhao Ziyang
16	250	\\	$6880-03$aChu ban.
16	260	\\	$6880-04$aXianggang :$bTaiping yang shi ji yan jiu suo,$c1997.
16	300	\\	$axxxvii, 561 p. [18] p. of plates :$bill. (some col.), ports. ;$c21 cm.
16	490	1\	$6880-05$aTou shi Zhongguo cong shu ;$v5
16	504	\\	$aIncludes bibliographical references.
16	651	\0	$aChina$xPolitics and government$y1976-
16	600	10	$6880-06$aZhao, Ziyang.
16	880	1\	$6100-01$a吳國光.
16	880	10	$6245-02$a趙紫陽與政治改革 /$c吳國光著.
16	880	\\	$6250-03$a初版.
16	880	\\	$6260-04$a香港 :$b太平洋世紀硏究所,$c1997.
16	880	1\	$6490-05$a透視中國叢書 ;$v5
16	880	10	$6600-06$a趙紫陽.
16	830	\0	$6880-55$aTou shi Zhongguo cong shu ;$v5.
16	880	\0	$6830-55$a透視中國叢書 ;$v5.
16	988	\\	$a20021121
16	906	\\	$0OCLC
			
17	LDR		01131cam a2200289ui 4500
17	001		008001738-X
17	005		20024617124733.0
17	008		990212s1972\\\\ko\\\\\\\\\\\\000\0\kor\d
17	035	0\	$aocm40776081
17	040	\\	$a*YNH*$c*YNH*$dCStRLIN
17	100	0\	$6880-01$aSejong,$cKing of Korea,$d1397-1450.
17	245	10	$6880-02$aYongbi ŏchʻŏn ka /$cSejong myongchʻan ; Kim Sŏng-chʻil yŏk ; chʻaegim kyoyŏl, Sŏng Nak-hun.
17	260	\\	$6880-03$a[Sŏul] :$bTonghwa Chʻulpʻan Kongsa,$c[1972]
17	300	\\	$a[1 v.] ;$c26 cm.
17	490	1\	$6880-04$aHanʼguk ŭi sasang taejŏnjip ;$v7
17	650	\0	$aPhilosophy, Korean.
17	651	\0	$aKorea$xCivilization.
17	700	1\	$6880-05$aSŏng, Nak-hun.
17	880	0\	$6100-01$a世宗,$cKing of Korea,$d1397-1450.
17	880	10	$6245-02$a龍飛御天歌 /$c世宗命撰; 金聖七譯; 責任校閱・成樂熏.
17	880	\\	$6260-03$a[서울] :$b同和出版公社,$c[1972]
17	880	1\	$6490-04$a韓國의思想大全集 ;$v7
17	880	1\	$6700-05$a成樂熏.
17	830	\0	$6880-54$aHanʼguk ŭi sasang taejŏnjip ;$v7.
17	880	\0	$6830-54$a韓國의思想大全集 ;$v7.
17	988	\\	$a20021221
17	906	\\	$0MH
			
18	LDR		00846nam a2200265Ia 45e0
18	001		008001838-6
18	005		20030423184403.0
18	008		021205s1997\\\\fr\a\\\\\\\\\\000\0\fre\d
18	035	0\	$aocm51166490
18	040	\\	$aHLS$cHLS
18	043	\\	$ae-sz---
18	050	\4	$aGV1677$b.C66 1997
18	090	\\	$aGV1677$b.C66 1997
18	245	03	$a""La Comberintze,"" Société des vieilles danses, Martigny-Combe /$c[Marie-Jeanne Abbet ... et al.].
18	246	30	$a""Comberintze""
18	246	14	$aComberintze, 1947-1997
18	260	\\	$a[Martigny :$bs.n.,$c1997]
18	300	\\	$a1 v. (unpaged) :$bill. ;$c21 cm.
18	650	\0	$aFolk dancing$zSwitzerland$vPictorial works.
18	650	\0	$aDance costume$zSwitzerland$vPictorial works.
18	651	\0	$aSwitzerland$xHistory$y20th century.
18	655	\7	$aPictorial works.$2fast
18	700	1\	$aAbbet, Marie-Jeanne.
18	988	\\	$a20030421
18	906	\\	$0MH
			
19	LDR		01019aam a2200301 a 4500
19	001		008001944-7
19	005		20020606104010.5
19	008		980508s1998\\\\au\\\\\\\b\\\\000\0\ger\\
19	010	\\	$a   98148790 
19	020	\\	$a3853711332
19	035	0\	$aocm44067569
19	040	\\	$aDLC$cDLC
19	043	\\	$ae-au---$ae------
19	050	00	$aHV640.4.A8$bM46 1998
19	245	00	$aMenschenjagd :$bSchengenland in Österreich /$cHg., Anny Knapp, Herbert Langthaler.
19	260	\\	$aWien :$bPromedia,$cc1998.
19	300	\\	$a208 p. ;$c21 cm.
19	504	\\	$aIncludes bibliographical references.
19	630	00	$aSchengen Agreement$d(1985 June 14)
19	650	\0	$aRefugees$xGovernment policy$zAustria.
19	650	\0	$aRefugees$xGovernment policy$zEuropean Union countries.
19	650	\0	$aAsylum, Right of$zAustria.
19	650	\0	$aAsylum, Right of$zEuropean Union countries.
19	650	\0	$aInternational travel regulations$zEuropean Union countries.
19	700	1\	$aKnapp, Anny,$d1956-
19	700	1\	$aLangthaler, Herbert,$d1957-
19	988	\\	$a20020608
19	906	\\	$0DLC
			
20	LDR		00948nam a22003017a 4500
20	001		008002046-1
20	005		20020606104010.5
20	008		980205s1997\\\\gw\a\\\\\b\\\\000\0\ger\\
20	016	7\	$a9717342$2DNLM
20	020	\\	$a3895887994 (alk. paper)
20	035	0\	$aocm38386651
20	035	1\	$aMDNM9717342B
20	040	\\	$aDNLM$cDNLM$dCStRLIN
20	043	\\	$an-us---$ae-gx---
20	050	00	$aRA395.A3$bR677 1997
20	060	00	$a1997 K-874
20	060	10	$aW 84 AA1
20	100	1\	$aRothfuss, Andreas M.
20	245	14	$aDas Gesundheitswesen in den USA :$bReformoptionen für die Bundesrepublik Deutschland? /$cAndreas M. Rothfuss.
20	250	\\	$a1. Aufl.
20	260	\\	$aGöttingen :$bCuvillier,$c1997.
20	300	\\	$avi, 108 p. :$bill. ;$c21 cm.
20	504	\\	$aIncludes bibliographical references (p. 99-108).
20	650	\0	$aMedical care$zUnited States.
20	650	\0	$aHealth insurance$zUnited States.
20	650	\0	$aHealth care reform$zGermany.
20	988	\\	$a20020608
20	906	\\	$0RLIN
			
21	LDR		01536cas a2200469 a 4500
21	001		008002149-2
21	005		20150415104453.0
21	008		981104d19982000ne\ar\\\\\\\\\0\\\\0eng\c
21	010	\\	$asn 98048179 
21	015	\\	$a99,A11,0313$2dnb
21	015	\\	$a019569432$2dnb
21	016	7\	$a1463631-1$2DE-600
21	016	7\	$a019569432$2DE-101
21	016	7\	$a011794820$2Uk
21	022	\\	$a1388-0365$l1388-0365
21	035	0\	$aocm40226307
21	040	\\	$aYYP$beng$cYYP$dWAU$dGUA$dEYM$dDLC$dINU$dCLU$dNLGGC$dOCLCQ$dHEBIS$dDEBBG$dGBVCP$dGWDNB$dUKMGB$dOCLCF$dOCLCO
21	042	\\	$apcc
21	050	00	$aBM1$b.A6
21	210	0\	$aAnnu. Rabbin. Jud.
21	222	\4	$aThe Annual of Rabbinic Judaism
21	245	04	$aThe annual of rabbinic Judaism :$bancient, medieval, and modern.
21	260	\\	$aLeiden ;$aBoston :$bBrill,$c1998-2000.
21	300	\\	$a3 v. ;$c25 cm.
21	310	\\	$aAnnual
21	362	0\	$aVol. 1-v. 3.
21	650	\0	$aJewish law$vPeriodicals.
21	650	\0	$aJudaism$xHistory$vPeriodicals.
21	650	\0	$aRabbinical literature$vPeriodicals.
21	650	17	$aRabbijnse literatuur.$2gtt
21	650	17	$aJaarboeken (vorm)$2gtt
21	650	07	$aRabbinismus.$2swd
21	650	\7	$aJewish law.$2fast
21	650	\7	$aJudaism.$2fast
